Ay,Ax,B,ux,uy,phi,t
14,-4,0,-0.128186798585373,0.46293021301499,0,0.000110900000436232
14,-4,1,-0.128186798585373,0.46293021301499,0,0.00011110000195913
14,-4,2,-0.128186798585373,0.46293021301499,0,0.000111599991214462
14,-4,3,-0.128186798585373,0.46293021301499,0,0.000110900000436232
16,-4,-3,-0.155121912574022,0.505130314743252,0,0.000124400001368485
16,-4,-2,-0.155121912574022,0.505130314743252,0,0.000111199988168664
16,-4,-1,-0.155121912574022,0.505130314743252,0,0.000109700005850755
16,-4,0,-0.155121912574022,0.505130314743252,0,0.000110499997390434
16,-4,1,-0.155121912574022,0.505130314743252,0,0.000109799992060289
16,-4,2,-0.155121912574022,0.505130314743252,0,0.000110900000436232
16,-4,3,-0.155121912574022,0.505130314743252,0,0.00011110000195913
18,-4,-3,-0.181637075451823,0.542175901930905,0,0.000112599998828955
18,-4,-2,-0.181637075451823,0.542175901930905,0,0.000111000001197681
18,-4,-1,-0.181637075451823,0.542175901930905,0,0.000112599998828955
18,-4,0,-0.181637075451823,0.542175901930905,0,0.00011110000195913
18,-4,1,-0.181637075451823,0.542175901930905,0,0.000111700006527826
18,-4,2,-0.181637075451823,0.542175901930905,0,0.00011120000272058
18,-4,3,-0.181637075451823,0.542175901930905,0,0.000110000008135103
20,-4,-3,-0.207381220437954,0.574699248475219,0,0.000110999986645766
20,-4,-2,-0.207381220437954,0.574699248475219,0,0.000109500004327856
20,-4,-1,-0.207381220437954,0.574699248475219,0,0.00011120000272058
20,-4,0,-0.207381220437954,0.574699248475219,0,0.000117300005513243
20,-4,1,-0.207381220437954,0.574699248475219,0,0.000111299988930114
20,-4,2,-0.207381220437954,0.574699248475219,0,0.000109700005850755
20,-4,3,-0.207381220437954,0.574699248475219,0,0.000110599998151883
0,-3,-3,0,0,0,3.09999450109899E-06
0,-3,-2,0,0,0,1.60001218318939E-06
0,-3,-1,0,0,0,1.39999610837549E-06
0,-3,0,0,0,0,1.29999534692615E-06
0,-3,1,0,0,0,1.39999610837549E-06
0,-3,2,0,0,0,1.59999763127416E-06
0,-3,3,0,0,0,1.49999686982483E-06
0.5,-3,-3,-0.000227687646753327,0.0202431697738159,0,9.99999901978299E-05
0.5,-3,-2,-0.000227687646753327,0.0202431697738159,0,9.91999986581504E-05
0.5,-3,-1,-0.000227687646753327,0.0202431697738159,0,9.75000002654269E-05
0.5,-3,0,-0.000227687646753327,0.0202431697738159,0,9.8400007118471E-05
0.5,-3,1,-0.000227687646753327,0.0202431697738159,0,9.71999979810789E-05
0.5,-3,2,-0.000227687646753327,0.0202431697738159,0,0.000233099999604747
0.5,-3,3,-0.000227687646753327,0.0202431697738159,0,9.94000001810491E-05
1,-3,-3,-0.000909256542949444,0.0404454574686463,0,9.72999987425283E-05
1,-3,-2,-0.000909256542949444,0.0404454574686463,0,9.87999956123531E-05
1,-3,-1,-0.000909256542949444,0.0404454574686463,0,9.87999956123531E-05
1,-3,0,-0.000909256542949444,0.0404454574686463,0,9.72999987425283E-05
1,-3,1,-0.000909256542949444,0.0404454574686463,0,9.68000094871968E-05
1,-3,2,-0.000909256542949444,0.0404454574686463,0,9.70000110100955E-05
